"xSectMax","vimpelId","xSectAvg","name","diameter","depth","mass","span","cosparId","satno","height","width","xSectMin","shape","objectClass"
"0.043589",,"0.035","CNCE Blk 1A",NULL,"0.1","4","0.3","2021-058E","48875.0","0.3","0.1","0.01","Box","Payload"
"23.657",,"13.5615","Starlink 3701",NULL,"1.5","260","8.86","2022-029H","52095.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.0938083",,"0.08","Brik-II",NULL,"0.2","10","0.3","2021-058F","48876.0","0.3","0.2","0.04","Box","Payload"
"0.043589",,"0.035","HALO-Net Free Flyer",NULL,"0.1","4","0.3","2021-058G","48877.0","0.3","0.1","0.01","Box","Payload"
"0.0281",,"0.0156","SpaceBEE 105",NULL,"0.1","0.284","0.9","2021-059T","48896.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"0.0281",,"0.0156","SpaceBEE 107",NULL,"0.1","0.284","0.9","2021-059R","48894.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"0.0281",,"0.0156","SpaceBEE 108",NULL,"0.1","0.284","0.9","2021-059S","48895.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"23.657",,"13.5615","Starlink 3676",NULL,"1.5","260","8.86","2022-029K","52097.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.0281",,"0.0156","SpaceBEE 109",NULL,"0.1","0.284","0.9","2021-059U","48897.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"0.0281",,"0.0156","SpaceBEE 110",NULL,"0.1","0.284","0.9","2021-059W","48899.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"2.744",,"1.8368","ICEYE-X11",NULL,"0.6","80","1.5","2021-059AR","48918.0","0.8","0.6","0.494","Box + 1 Pan","Payload"
